iter	RMSE
0	647.5328507
1	642.7927816
2	638.2159594
3	633.7656185
4	629.3333092
5	624.778568
6	620.5921785
7	616.5520154
8	612.387564
9	607.9831872
10	603.5859569
11	599.2985508
12	595.2940522
13	591.4436129
14	587.6154515
15	583.5719136
16	579.9383249
17	576.164103
18	572.3012547
19	568.6763078
20	564.6940905
21	560.9233644
22	557.4562723
23	553.9854101
24	550.5719681
25	547.1924378
26	543.937385
27	540.4025668
28	537.424432
29	534.5042794
30	531.2434041
31	527.9871785
32	524.7074017
33	521.710056
34	518.7146501
35	515.5282492
36	512.5013323
37	509.8521138
38	506.9446918
39	504.1129144
40	501.2054947
41	498.297854
42	495.6356954
43	492.6843302
44	490.0446681
45	487.3832202
46	484.8212955
47	482.1072129
48	479.4684449
49	476.8944748
50	474.4098796
51	471.6874415
52	469.1053348
53	466.962498
54	464.5439503
55	462.1479513
56	459.7730757
57	457.6409828
58	455.3574595
59	453.349514
60	451.4405454
61	449.1522209
62	446.9866276
63	445.0372621
64	443.1065151
65	440.9306908
66	439.0263415
67	437.0797704
68	435.2592406
69	433.5448396
70	431.4327322
71	429.5706029
72	427.8532747
73	425.8979468
74	424.0367113
75	422.1621334
76	420.4208041
77	418.6938552
78	416.8613855
79	415.0872599
80	413.3909774
81	411.871231
82	410.2281482
83	408.659498
84	407.1323615
85	405.5679232
86	404.0209837
87	402.6393428
88	401.0883618
89	399.7200359
90	398.4283316
91	397.0392043
92	395.7353963
93	394.4197397
94	393.0621908
95	391.8417512
96	390.5808718
97	389.1930516
98	388.0090594
99	386.6455672
100	385.403337
101	383.9511716
102	382.7255916
103	381.3296495
104	380.0939418
105	378.8214567
106	377.855269
107	376.5731997
108	375.4378665
109	374.4128018
110	373.3085547
111	372.2338494
112	371.0441078
113	369.8743055
114	368.8068723
115	367.906902
116	366.879955
117	365.6945609
118	364.7176459
119	363.814309
120	362.8369781
121	361.7567691
122	360.7453148
123	359.7369508
124	358.819778
125	357.9194442
126	357.0091592
127	356.2468493
128	355.4524306
129	354.6206005
130	353.6174106
131	352.7141643
132	351.8262825
133	350.8625818
134	349.9316796
135	348.9263525
136	348.056196
137	347.1594989
138	346.3547417
139	345.7335442
140	344.940483
141	344.1379286
142	343.5229307
143	342.6754212
144	341.8940947
145	341.1080924
146	340.3986731
147	339.5988718
148	338.7950202
149	338.1385774
150	337.5175123
151	336.7793403
152	336.1454224
153	335.3948378
154	334.6628704
155	333.9256646
156	333.269516
157	332.5777606
158	331.8440738
159	331.0676002
160	330.3361651
161	329.5815786
162	328.9181545
163	328.1676454
164	327.5833707
165	326.9913144
166	326.3587227
167	325.7487261
168	324.9646647
169	324.3996448
170	323.9295363
171	323.4307728
172	322.8903245
173	322.3507149
174	321.7170887
175	321.1789888
176	320.6767071
177	320.0618814
178	319.5068777
179	319.0019037
180	318.5184178
181	317.983262
182	317.3885362
183	316.856549
184	316.3124132
185	315.8838029
186	315.3835897
187	314.9425925
188	314.3960186
189	313.9722767
190	313.5563217
191	313.0595131
192	312.5203096
193	312.1190927
194	311.5877706
195	311.1713091
196	310.6124749
197	310.1420564
198	309.6806102
199	309.1767756
200	308.6697538
201	308.2472226
202	307.786188
203	307.2388075
204	306.7607484
205	306.3200545
206	305.8103049
207	305.3733441
208	304.9300247
209	304.4932928
210	304.1110216
211	303.7556312
212	303.407599
213	303.0441359
214	302.670942
215	302.3326783
216	301.9564333
217	301.429591
218	301.0740775
219	300.7333864
220	300.3881004
221	299.944215
222	299.5849085
223	299.1619623
224	298.856879
225	298.5562352
226	298.2465731
227	297.8964228
228	297.5481868
229	297.208445
230	296.9025745
231	296.5515917
232	296.167895
233	295.8460024
234	295.5028428
235	295.1557649
236	294.7927831
237	294.500385
238	294.1641599
239	293.8899172
240	293.5146869
241	293.2750544
242	292.9548359
243	292.6103663
244	292.350053
245	292.1178005
246	291.7745825
247	291.4405838
248	291.2320123
249	290.9369947
250	290.6280102
251	290.3119965
252	290.0536395
253	289.7331393
254	289.4876494
255	289.208561
256	288.9613522
257	288.587367
258	288.3198685
