iter	Passed	Remaining
0	165	662315
1	166	333572
2	168	224121
3	169	169453
4	171	136902
5	172	114807
6	173	98953
7	174	87093
8	176	78168
9	177	71019
10	180	65357
11	181	60413
12	183	56125
13	184	52633
14	186	49521
15	187	46771
16	189	44458
17	191	42327
18	192	40337
19	193	38518
20	196	37181
21	198	35939
22	199	34577
23	201	33324
24	202	32155
25	205	31423
26	207	30556
27	209	29706
28	210	28860
29	211	28052
30	213	27321
31	214	26646
32	216	25995
33	217	25358
34	218	24789
35	220	24236
36	222	23857
37	224	23413
38	225	22932
39	227	22488
40	228	22080
41	229	21666
42	232	21425
43	235	21155
44	237	20831
45	240	20704
46	242	20374
47	243	20026
48	244	19696
49	246	19487
50	248	19219
51	249	18955
52	251	18739
53	253	18506
54	254	18256
55	255	18020
56	257	17786
57	258	17559
58	259	17364
59	262	17216
60	263	17043
61	265	16873
62	267	16689
63	268	16530
64	270	16404
65	273	16274
66	274	16113
67	276	15963
68	277	15824
69	279	15682
70	280	15519
71	281	15355
72	282	15195
73	283	15051
74	285	14925
75	286	14809
76	290	14789
77	292	14692
78	294	14595
79	295	14471
80	296	14355
81	298	14242
82	299	14136
83	300	14026
84	302	13922
85	303	13818
86	305	13753
87	307	13656
88	308	13568
89	309	13457
90	310	13356
91	312	13260
92	313	13164
93	315	13091
94	316	13001
95	317	12913
96	320	12893
97	322	12834
98	324	12769
99	326	12731
100	328	12668
101	329	12592
102	330	12522
103	332	12470
104	335	12431
105	336	12369
106	338	12318
107	340	12256
108	343	12275
109	345	12221
110	347	12166
111	348	12113
112	350	12057
113	352	12008
114	354	11974
115	355	11906
116	356	11839
117	357	11771
118	358	11707
119	360	11658
120	362	11619
121	364	11575
122	365	11518
123	366	11457
124	367	11393
125	368	11345
126	370	11302
127	372	11260
128	373	11211
129	374	11159
130	376	11127
131	378	11091
132	380	11066
133	382	11039
134	384	11001
135	385	10961
136	387	10924
137	389	10891
138	392	10915
139	394	10864
140	395	10817
141	396	10771
142	397	10725
143	398	10678
144	399	10632
145	401	10592
146	402	10555
147	404	10524
148	406	10509
149	408	10482
150	411	10482
151	412	10448
152	414	10420
153	415	10387
154	418	10380
155	422	10403
156	424	10386
157	425	10357
158	427	10331
159	429	10305
160	430	10269
161	431	10230
162	432	10190
163	434	10153
164	437	10162
165	439	10139
166	441	10122
167	442	10097
168	444	10072
169	445	10047
170	447	10021
171	451	10046
172	452	10015
173	454	9987
174	455	9961
175	457	9934
176	458	9906
177	459	9876
178	461	9858
179	465	9885
180	472	9971
181	475	9966
182	476	9941
183	479	9934
184	480	9916
185	482	9889
186	483	9867
187	485	9839
188	486	9811
189	487	9781
190	489	9753
191	491	9742
192	493	9730
193	494	9708
194	496	9693
195	498	9672
196	499	9647
197	501	9620
198	503	9607
199	504	9587
200	506	9563
201	507	9540
202	509	9521
203	510	9500
204	511	9477
205	513	9457
206	514	9436
207	516	9415
208	517	9389
209	519	9368
210	520	9350
211	523	9355
212	526	9366
213	528	9342
214	529	9319
215	530	9297
216	531	9272
217	533	9251
218	534	9227
219	535	9203
220	539	9225
221	541	9207
222	542	9183
223	543	9167
224	545	9148
225	546	9124
226	547	9099
227	548	9073
228	549	9053
229	550	9030
230	552	9016
231	554	8999
232	555	8984
233	556	8959
234	557	8936
235	559	8921
236	560	8902
237	562	8887
238	563	8866
239	564	8844
240	565	8824
241	569	8841
242	570	8821
243	571	8802
244	573	8786
245	574	8765
246	575	8744
247	576	8724
248	578	8712
249	579	8693
250	580	8677
251	582	8663
252	583	8645
253	585	8628
254	586	8606
255	587	8598
256	589	8583
257	590	8565
258	591	8546
259	592	8526
260	594	8510
261	597	8523
262	598	8509
263	600	8498
264	601	8483
265	603	8466
266	604	8447
267	605	8431
268	606	8413
269	607	8397
270	609	8381
271	610	8371
272	612	8361
273	614	8353
274	618	8375
275	630	8513
276	633	8516
277	635	8509
278	636	8493
279	637	8475
280	639	8457
281	640	8441
282	642	8438
283	644	8436
284	646	8429
285	648	8417
286	650	8414
287	651	8403
288	653	8390
289	654	8378
290	657	8377
291	658	8363
292	660	8351
293	661	8338
294	662	8325
295	663	8308
296	665	8292
297	666	8277
298	667	8262
299	668	8247
300	670	8245
301	672	8239
302	675	8236
303	676	8220
304	678	8222
305	680	8216
306	682	8209
307	683	8198
308	685	8192
309	687	8182
310	688	8171
311	690	8158
312	691	8145
313	692	8131
314	693	8118
315	696	8115
316	697	8105
317	699	8102
318	702	8101
319	704	8099
320	706	8092
321	707	8086
322	709	8078
323	711	8069
324	712	8056
325	714	8048
326	715	8037
327	717	8029
328	718	8019
329	720	8007
330	721	7993
